Team,Index,tournamentSeed,,,,,,,
,,,,E Washington,84,,Tennessee St.,310,0
,,,,E Washington,84,,UMBC,332,0
,,,,EWU,84,,Grambling St.,109,0
,,,,Eastern Washington,84,,SIU Edwardsville,259,0
,,,,ELON,85,,Radford,252,0
,,,,Elon,85,,South Dakota,282,0
,,,,EVAN,86,,Cal Poly,37,0
,,,,Evansville,86,,Southeast Missouri St.,286,0
,,,,Evansville(H) 158 Southern Illinois,87,,UTEP,344,0
,,,,FIU,88,,Eastern Kentucky,82,0
,,,,Florida International,88,,Hampton,112,0
,,,,Florida Intl,88,,Pepperdine,240,0
,,,,Florida Intl,88,,East Texas A&M,80,0
,,,,FAIR,89,,Southeastern Louisiana,287,0
,,,,Fairfield,89,,Texas St.,316,0
,,,,F Dickinson,90,,Louisiana Tech,158,0
,,,,F Dickinson,90,,UC Riverside,327,0
,,,,FDU,90,,Brown,31,0
,,,,Fairleigh Dickinson,90,,North Dakota,214,0
,,,,Farleigh Dickinson,90,,Arkansas Pine Bluff,14,0
,,,,FLA,91,,Presbyterian,245,0
,,,,Florida,91,,Western Carolina,366,0
,,,,FAMU,92,,Georgia St.,106,0
,,,,Florida A&M,92,,Longwood,155,0
,,,,FAU,93,,Howard,121,0
,,,,FL Atlantic,93,,Evansville,86,0
,,,,FL Atlantic,93,,Southern Utah,293,0
,,,,FL Atlantic,93,,Mercyhurst,174,0
,,,,Florida Atlantic,93,,Boston University,28,0
,,,,Florida Atlantic,93,,Sacramento St.,261,0
,,,,Florida Atlantic,93,,Chattanooga,51,0
,,,,Florida Atlantic,93,,North Carolina A&T,212,0
,,,,Florida Atlantic(A) 69 South Florida,94,,Delaware,70,0
,,,,FGCU,95,,New Hampshire,202,0
,,,,FGCU,95,,Samford,269,0
,,,,Florida Gulf Coast,95,,Alabama St.,6,0
,,,,FSU,96,,IU Indy,122,0
,,,,Florida St,96,,Ball St.,20,0
,,,,Florida St.,96,,East Carolina,78,0
,,,,Florida State,96,,Florida A&M,92,0
,,,,FOR,97,,USC Upstate,340,0
,,,,Fordham,97,,Albany,7,0
,,,,FRES,98,,Sacred Heart,262,0
,,,,Fresno St,98,,Cleveland St.,56,0
,,,,Fresno St.,98,,Northern Arizona,219,0
,,,,Fresno State,98,,Jacksonville,135,0
,,,,FUR,99,,UNC Greensboro,336,0
,,,,Furman,99,,Mount St. Mary's,194,0
,,,,GWEB,100,,Northwestern St.,225,0
,,,,Gardner Webb,100,,Morehead St.,192,0
,,,,Gardner Webb,100,,Cal St. Bakersfield,38,0
,,,,Gardner Webb,100,,Central Connecticut,46,0
,,,,Gardner-Webb,100,,Loyola Chicago,160,0
,,,,GMU,101,,Lehigh,149,0
,,,,George Mason,101,,Wagner,358,0
,,,,G Washington,102,,Alabama A&M,5,0
,,,,G Washington,102,,Houston Christian,120,0
,,,,G Washington,102,,Eastern Illinois,81,0
,,,,GW,102,,Central Michigan,47,0
,,,,George Washington,102,,West Georgia,364,0
,,,,George Washington,102,,Prairie View A&M,244,0
,,,,George Washington,102,,UMass Lowell,334,0
,,,,George Washington,102,,Bellarmine,22,0
,,,,GTWN,103,,Lafayette,146,0
,,,,Georgetown,103,,Stetson,300,0
,,,,Georgia,104,,Oral Roberts,233,0
,,,,UGA,104,,North Florida,216,0
,,,,GASO,105,,Norfolk St.,209,0
,,,,Ga Southern,105,,Louisiana,156,0
,,,,Ga Southern,105,,Bucknell,33,0
,,,,Georgia Southern,105,,Northern Illinois,221,0
,,,,GAST,106,,Little Rock,153,0
,,,,Georgia St,106,,Manhattan,164,0
,,,,Georgia St.,106,,Holy Cross,118,0
,,,,Georgia St.,106,,Maryland Eastern Shore,169,16
,,,,Georgia St.,106,,Southern Indiana,291,0
,,,,Georgia State,106,,Army,16,0
,,,,GeorgiaState,106,,NJIT,197,0
,,,,GT,107,,Texas Southern,315,0
,,,,Georgia Tech,107,,Air Force,2,0
,,,,GONZ,108,,Fairleigh Dickinson,90,0
,,,,Gonzaga,108,,North Alabama,210,0
,,,,GRAM,109,,New Haven,203,0
,,,,Grambling,109,,Jackson St.,134,0
,,,,Grambling St.,109,,Alcorn St.,8,0
,,,,Grambling State,109,,Loyola MD,161,0
,,,,GCU,110,,Tennessee Tech,311,0
,,,,Grand Canyon,110,,Stonehill,301,0
,,,,GB,111,,Canisius,43,0
,,,,Green Bay,111,,UMKC,333,0
,,,,WI Green Bay,111,,Niagara,207,0
,,,,WI Green Bay,111,,Saint Francis,263,0
,,,,HAMP,112,,Maine,163,0
,,,,Hampton,112,,North Carolina Central,213,0
,,,,Hartford,113,,VMI,351,0
,,,,HART,113,,Bryant,32,0
,,,,HARV,114,,UTSA,345,0
,,,,Harvard,114,,Rider,256,0
,,,,HAW,115,,Chicago St.,52,0
,,,,Hawaii,115,,The Citadel,318,0
,,,,HPU,116,,Louisiana Monroe,157,0
,,,,High Point,116,,Morgan St.,193,0
,,,,HOF,117,,South Carolina St.,281,0
,,,,Hofstra,117,,Western Illinois,367,0
,,,,HC,118,,Binghamton,25,0
,,,,Holy Cross,118,,Delaware St.,71,0
,,,,HOU,119,,Gardner Webb,100,0
,,,,Houston,119,,Coppin St.,63,0
,,,,HCU,120,,Mississippi Valley St.,186,0
,,,,Houston Baptist,120,,,,
,,,,Houston Chr,120,,,,
,,,,Houston Chr,120,,,,
,,,,Houston Christian,120,,,,
,,,,HOW,121,,,,
,,,,Howard,121,,,,
,,,,IU Indy,122,,,,
,,,,IUIN,122,,,,
,,,,IUPUI,122,,,,
,,,,IDHO,123,,,,
,,,,Idaho,123,,,,
,,,,IDST,124,,,,
,,,,Idaho St.,124,,,,
,,,,Idaho State,124,,,,
,,,,Idaho St,124,,,,
,,,,ILL,125,,,,
,,,,Illinois,125,,,,
,,,,IL Chicago,126,,,,
,,,,IL Chicago,126,,,,
,,,,Illinois Chicago,126,,,,
,,,,UIC,126,,,,
,,,,ILST,127,,,,
,,,,Illinois St.,127,,,,
,,,,Illinois State,127,,,,
,,,,Illinois St,127,,,,
,,,,Incarnate Word,128,,,,
,,,,UIW,128,,,,
,,,,IU,129,,,,
,,,,Indiana,129,,,,
,,,,INST,130,,,,
,,,,Indiana St.,130,,,,
,,,,Indiana State,130,,,,
,,,,Indiana St,130,,,,
,,,,IONA,131,,,,
,,,,Iona,131,,,,
,,,,IOWA,132,,,,
,,,,Iowa,132,,,,
,,,,ISU,133,,,,
,,,,Iowa St,133,,,,
,,,,Iowa St.,133,,,,
,,,,Iowa State,133,,,,
,,,,IowaState,133,,,,
,,,,JKST,134,,,,
,,,,Jackson St.,134,,,,
,,,,Jackson State,134,,,,
,,,,Jackson St,134,,,,
,,,,JAX,135,,,,
,,,,Jacksonville,135,,,,
,,,,JXST,136,,,,
,,,,Jacksonville St,136,,,,
,,,,Jacksonville St.,136,,,,
,,,,Jacksonville State,136,,,,
,,,,JacksonvilleState,136,,,,
,,,,JMU,137,,,,
,,,,James Madison,137,,,,
,,,,KU,138,,,,
,,,,Kansas,138,,,,
,,,,KSU,139,,,,
,,,,Kansas St,139,,,,
,,,,Kansas St.,139,,,,
,,,,Kansas State,139,,,,
,,,,KENN,140,,,,
,,,,Kennesaw,140,,,,
,,,,Kennesaw,140,,,,
,,,,Kennesaw,140,,,,
,,,,Kennesaw St.,140,,,,
,,,,Kennesaw State,140,,,,
,,,,KENT,141,,,,
,,,,Kent,141,,,,
,,,,Kent,141,,,,
,,,,Kent,141,,,,
,,,,Kent St,141,,,,
,,,,Kent St.,141,,,,
,,,,Kent State,141,,,,
,,,,Kentucky,142,,,,
,,,,UK,142,,,,
,,,,LIU,143,,,,
,,,,LIU Brooklyn,143,,,,
,,,,SFBK,143,,,,
,,,,LSU,144,,,,
,,,,LAS,145,,,,
,,,,La Salle,145,,,,
,,,,LAF,146,,,,
,,,,Lafayette,146,,,,
,,,,LAM,147,,,,
,,,,Lamar,147,,,,
,,,,LEM,148,,,,
,,,,Le Moyne,148,,,,
,,,,LEH,149,,,,
,,,,Lehigh,149,,,,
,,,,LIB,150,,,,
,,,,Liberty,150,,,,
,,,,LIN,151,,,,
,,,,Lindenwood,151,,,,
,,,,LIP,152,,,,
,,,,Lipscomb,152,,,,
,,,,Ark LR,153,,,,
,,,,Ark Little Rock,153,,,,
,,,,Ark Little Rock,153,,,,
,,,,Arkansas Little Rock,153,,,,
,,,,LR,153,,,,
,,,,Little Rock,153,,,,
,,,,LBSU,154,,,,
,,,,Long Beach St.,154,,,,
,,,,Long Beach St.,154,,,,
,,,,Long Beach St.,154,,,,
,,,,Long Beach State,154,,,,
,,,,Long Beach St,154,,,,
,,,,LONG,155,,,,
,,,,Longwood,155,,,,
,,,,Louisiana,156,,,,
,,,,Louisiana Lafayette,156,,,,
,,,,UL,156,,,,
,,,,Louisiana Monroe,157,,,,
,,,,ULM,157,,,,
,,,,LT,158,,,,
,,,,Louisiana Tech,158,,,,
,,,,LOU,159,,,,
,,,,Louisville,159,,,,
,,,,LUC,160,,,,
,,,,Loyola,160,,,,
,,,,Loyola Chicago,160,,,,
,,,,Loyola-Chicago,160,,,,
,,,,LoyolaChicago,160,,,,
,,,,Loyola (IL),160,,,,
,,,,L-MD,161,,,,
,,,,Loyola (MD),161,,,,
,,,,Loyola MD,161,,,,
,,,,LMU,162,,,,
,,,,Loy Marymount,162,,,,
,,,,Loy Marymount,162,,,,
,,,,Loyola Marymount,162,,,,
,,,,ME,163,,,,
,,,,Maine,163,,,,
,,,,MAN,164,,,,
,,,,Manhattan,164,,,,
,,,,MRST,165,,,,
,,,,Marist,165,,,,
,,,,MARQ,166,,,,
,,,,Marquette,166,,,,
,,,,MRSH,167,,,,
,,,,Marshall,167,,,,
,,,,MD,168,,,,
,,,,Maryland,168,,,,
,,,,MD E Shore,169,,,,
,,,,MD E Shore,169,,,,
,,,,Maryland Eastern Shore,169,,,,
,,,,UMES,169,,,,
,,,,MASS,170,,,,
,,,,Massachusetts,170,,,,
,,,,Umass,170,,,,
,,,,UMass,170,,,,
,,,,MCN,171,,,,
,,,,McNeese,171,,,,
,,,,McNeese St.,171,,,,
,,,,McNeese State,171,,,,
,,,,McNeese St,171,,,,
,,,,MEM,172,,,,
,,,,Memphis,172,,,,
,,,,MER,173,,,,
,,,,Mercer,173,,,,
,,,,MERC,174,,,,
,,,,Mercyhurst,174,,,,
,,,,Mercyhurst(H) 356 Chicago St.,175,,,,
,,,,MRMK,176,,,,
,,,,Merrimack,176,,,,
,,,,MIA,177,,,,
,,,,Miami,177,,,,
,,,,Miami (FL),177,,,,
,,,,Miami FL,177,,,,
,,,,M-OH,178,,,,
,,,,Miami (OH),178,,,,
,,,,Miami OH,178,,,,
,,,,MICH,179,,,,
,,,,Michigan,179,,,,
,,,,MSU,180,,,,
,,,,Michigan St,180,,,,
,,,,Michigan St.,180,,,,
,,,,Michigan State,180,,,,
,,,,MichiganState,180,,,,
,,,,MTSU,181,,,,
,,,,MTSU,181,,,,
,,,,MTSU,181,,,,
,,,,Middle Tennessee,181,,,,
,,,,Middle Tennessee,181,,,,
,,,,Middle Tennessee,181,,,,
,,,,Middle Tennessee,181,,,,
,,,,Middle Tennessee St,181,,,,
,,,,MILW,182,,,,
,,,,Milwaukee,182,,,,
,,,,WI Milwaukee,182,,,,
,,,,WI Milwaukee,182,,,,
,,,,WI Milwaukee,182,,,,
,,,,Wisconsin Milwaukee,182,,,,
,,,,Wisconsin Milwaukee,182,,,,
,,,,Wisconsin Milwaukee,182,,,,
,,,,Wisconsin Milwaukee,182,,,,
,,,,MINN,183,,,,
,,,,Minnesota,183,,,,
,,,,MISS,184,,,,
,,,,Mississippi,184,,,,
,,,,MSST,185,,,,
,,,,Mississippi St.,185,,,,
,,,,Mississippi State,185,,,,
,,,,Mississippi St,185,,,,
,,,,MS Valley St.,186,,,,
,,,,MS Valley St.,186,,,,
,,,,MVSU,186,,,,
,,,,Mississippi Valley St.,186,,,,
,,,,Mississippi Valley State,186,,,,
,,,,MS Valley St,186,,,,
,,,,Mississippi Valley St,186,,,,
,,,,Mississippi Valley State,186,,,,
,,,,MIZ,187,,,,
,,,,Missouri,187,,,,
,,,,MOST,188,,,,
,,,,Missouri St.,188,,,,
,,,,Missouri State,188,,,,
,,,,Ole Miss,188,,,,
,,,,Missouri St,188,,,,
,,,,MONM,189,,,,
,,,,Monmouth,189,,,,
,,,,Monmouth NJ,189,,,,
,,,,Monmouth NJ,189,,,,
,,,,MONT,190,,,,
,,,,Montana,190,,,,
,,,,MTST,191,,,,
,,,,Montana St,191,,,,
,,,,Montana St.,191,,,,
,,,,Montana State,191,,,,
,,,,MontanaState,191,,,,
,,,,MORE,192,,,,
,,,,Morehead St,192,,,,
,,,,Morehead St.,192,,,,
,,,,Morehead State,192,,,,
,,,,MORG,193,,,,
,,,,Morgan St.,193,,,,
,,,,Morgan State,193,,,,
,,,,Morgan St,193,,,,
,,,,MSM,194,,,,
,,,,Mount St Marys,194,,,,
,,,,Mount St. Mary's,194,,,,
,,,,Mount St. Mary’s,194,,,,
,,,,Mt St Mary's,194,,,,
,,,,Mount St Mary's,194,,,,
,,,,MUR,195,,,,
,,,,Murray St,195,,,,
,,,,Murray St.,195,,,,
,,,,Murray State,195,,,,
,,,,MurrayState,195,,,,
,,,,N.C. State,196,,,,
,,,,NC St.ate,196,,,,
,,,,NC St.ate,196,,,,
,,,,NC St.ate,196,,,,
,,,,NC State,196,,,,
,,,,NC State,196,,,,
,,,,NC State,196,,,,
,,,,NC State,196,,,,
,,,,NCSU,196,,,,
,,,,North Carolina St,196,,,,
,,,,North Carolina State,196,,,,
,,,,NJIT,197,,,,
,,,,NAVY,198,,,,
,,,,Navy,198,,,,
,,,,NEB,199,,,,
,,,,Nebraska,199,,,,
,,,,Nebraska Omaha,200,,,,
,,,,OMA,200,,,,
,,,,Omaha,200,,,,
,,,,NE Omaha,200,,,,
,,,,Nebraska Omaha,200,,,,
,,,,NEV,201,,,,
,,,,Nevada,201,,,,
,,,,New Hampshire,202,,,,
,,,,UNH,202,,,,
,,,,Morris Brown,202,,,,
,,,,NHVN,203,,,,
,,,,New Haven,203,,,,
,,,,New Mexico,204,,,,
,,,,UNM,204,,,,
,,,,NMSU,205,,,,
,,,,New Mexico St,205,,,,
,,,,New Mexico St.,205,,,,
,,,,New Mexico State,205,,,,
,,,,NewMexicoState,205,,,,
,,,,UNO,206,,,,
,,,,New Orleans,206,,,,
,,,,NIA,207,,,,
,,,,Niagara,207,,,,
,,,,NICH,208,,,,
,,,,Nicholls,208,,,,
,,,,Nicholls St.,208,,,,
,,,,Nicholls St,208,,,,
,,,,NORF,209,,,,
,,,,Norfolk St,209,,,,
,,,,Norfolk St.,209,,,,
,,,,Norfolk State,209,,,,
,,,,NorfolkState,209,,,,
,,,,North Alabama,210,,,,
,,,,UNA,210,,,,
,,,,North Carolina,211,,,,
,,,,NorthCarolina,211,,,,
,,,,UNC,211,,,,
,,,,NC A&T,212,,,,
,,,,NCAT,212,,,,
,,,,North Carolina A&T,212,,,,
,,,,NC Central,213,,,,
